neuron,concept,score,margin,status,mean_activation,max_activation,active_fraction,top_candidates
480,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
481,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
482,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
483,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
484,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
485,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
486,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
487,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
488,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
489,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
490,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
491,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
492,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
493,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
494,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
495,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
496,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
497,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
498,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
499,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
500,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
501,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
502,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
503,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
504,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
505,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
506,ambiguous,0.3509224057197571,0.0006231069564819336,ambiguous,9.862176375463605e-05,0.02549017407000065,0.025,left lung opacity=0.351; small pneumothorax=0.350; left pneumothorax=0.350; no pneumothorax=0.350; cardiac pacemaker=0.349
507,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
508,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
509,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
510,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
511,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
512,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
513,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
514,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
515,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
516,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
517,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
518,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
519,dead_neuron,0.0,0.0,dead,0.0,0.0,0.0,
